Year,Scenario,Units,Value
2015,Normality,Number of days,365
2016,Normality,Number of days,280
2017,Normality,Number of days,264
2018,Normality,Number of days,287
2019,Normality,Number of days,321
2020,Normality,Number of days,365
2021,Normality,Number of days,365
2022,Normality,Number of days,20
2023,Normality,Number of days,0
2024,Normality,Number of days,0
2025,Normality,Number of days,230
2015,Pre-alert,Number of days,0
2016,Pre-alert,Number of days,85
2017,Pre-alert,Number of days,101
2018,Pre-alert,Number of days,37
2019,Pre-alert,Number of days,44
2020,Pre-alert,Number of days,0
2021,Pre-alert,Number of days,0
2022,Pre-alert,Number of days,173
2023,Pre-alert,Number of days,0
2024,Pre-alert,Number of days,0
2025,Pre-alert,Number of days,35
2015,Pre-alert2,Number of days,0
2016,Pre-alert2,Number of days,0
2017,Pre-alert2,Number of days,0
2018,Pre-alert2,Number of days,41
2019,Pre-alert2,Number of days,0
2020,Pre-alert2,Number of days,0
2021,Pre-alert2,Number of days,0
2022,Pre-alert2,Number of days,127
2023,Pre-alert2,Number of days,0
2024,Pre-alert2,Number of days,0
2025,Pre-alert2,Number of days,0
2015,Alert,Number of days,0
2016,Alert,Number of days,0
2017,Alert,Number of days,0
2018,Alert,Number of days,0
2019,Alert,Number of days,0
2020,Alert,Number of days,0
2021,Alert,Number of days,0
2022,Alert,Number of days,45
2023,Alert,Number of days,59
2024,Alert,Number of days,186
2025,Alert,Number of days,100
2015,Excepcionality,Number of days,0
2016,Excepcionality,Number of days,0
2017,Excepcionality,Number of days,0
2018,Excepcionality,Number of days,0
2019,Excepcionality,Number of days,0
2020,Excepcionality,Number of days,0
2021,Excepcionality,Number of days,0
2022,Excepcionality,Number of days,0
2023,Excepcionality,Number of days,268
2024,Excepcionality,Number of days,46
2025,Excepcionality,Number of days,0
2015,Pre-emergency,Number of days,0
2016,Pre-emergency,Number of days,0
2017,Pre-emergency,Number of days,0
2018,Pre-emergency,Number of days,0
2019,Pre-emergency,Number of days,0
2020,Pre-emergency,Number of days,0
2021,Pre-emergency,Number of days,0
2022,Pre-emergency,Number of days,0
2023,Pre-emergency,Number of days,38
2024,Pre-emergency,Number of days,31
2025,Pre-emergency,Number of days,0
2015,Emergency,Number of days,0
2016,Emergency,Number of days,0
2017,Emergency,Number of days,0
2018,Emergency,Number of days,0
2019,Emergency,Number of days,0
2020,Emergency,Number of days,0
2021,Emergency,Number of days,0
2022,Emergency,Number of days,0
2023,Emergency,Number of days,0
2024,Emergency,Number of days,102
2025,Emergency,Number of days,0
