Year,Type_Transport,Units,Value
2015,Private motorized,Porcentaje,16.6
2015,Taxi,Porcentaje,1.0
2015,Public transport,Porcentaje,66.1
2015,Bicicle and electric scooter,Porcentaje,5.2
2015,Walking,Porcentaje,10.9
2015,Otros,Porcentaje,0.2
2016,Private motorized,Porcentaje,17.6
2016,Taxi,Porcentaje,1.1
2016,Public transport,Porcentaje,66.4
2016,Bicicle and electric scooter,Porcentaje,5.4
2016,Walking,Porcentaje,9.3
2016,Otros,Porcentaje,0.2
2017,Private motorized,Porcentaje,17.3
2017,Taxi,Porcentaje,1.1
2017,Public transport,Porcentaje,64.2
2017,Bicicle and electric scooter,Porcentaje,6.3
2017,Walking,Porcentaje,9.1
2017,Otros,Porcentaje,2.0
2018,Private motorized,Porcentaje,17.1
2018,Taxi,Porcentaje,1.6
2018,Public transport,Porcentaje,64.6
2018,Bicicle and electric scooter,Porcentaje,6.4
2018,Walking,Porcentaje,9.9
2018,Otros,Porcentaje,0.4
2019,Private motorized,Porcentaje,17.0
2019,Taxi,Porcentaje,1.3
2019,Public transport,Porcentaje,65.4
2019,Bicicle and electric scooter,Porcentaje,7.3
2019,Walking,Porcentaje,8.7
2019,Otros,Porcentaje,0.3
2020,Private motorized,Porcentaje,18.7
2020,Taxi,Porcentaje,1.6
2020,Public transport,Porcentaje,57.4
2020,Bicicle and electric scooter,Porcentaje,9.9
2020,Walking,Porcentaje,12.2
2020,Otros,Porcentaje,0.2
2021,Private motorized,Porcentaje,17.9
2021,Taxi,Porcentaje,1.4
2021,Public transport,Porcentaje,58.1
2021,Bicicle and electric scooter,Porcentaje,9.3
2021,Walking,Porcentaje,13.2
2021,Otros,Porcentaje,0.1
2022,Private motorized,Porcentaje,16.8
2022,Taxi,Porcentaje,1.7
2022,Public transport,Porcentaje,61.2
2022,Bicicle and electric scooter,Porcentaje,7.8
2022,Walking,Porcentaje,12.4
2022,Otros,Porcentaje,0.1
