Year,Área Geográfica,Threshold,Units,Value
2016-2017,Barcelona,40%,Porcentaje,
2017-2018,Barcelona,40%,Porcentaje,
2018-2019,Barcelona,40%,Porcentaje,
2019-2020,Barcelona,40%,Porcentaje,
2020-2021,Barcelona,40%,Porcentaje,
2016-2017,Área Metropolitana Barcelona,40%,Porcentaje,
2017-2018,Área Metropolitana Barcelona,40%,Porcentaje,
2018-2019,Área Metropolitana Barcelona,40%,Porcentaje,
2019-2020,Área Metropolitana Barcelona,40%,Porcentaje,
2020-2021,Área Metropolitana Barcelona,40%,Porcentaje,
2016-2017,Barcelona,60%,Porcentaje,19.0
2017-2018,Barcelona,60%,Porcentaje,19.3
2018-2019,Barcelona,60%,Porcentaje,18.2
2019-2020,Barcelona,60%,Porcentaje,17.2
2020-2021,Barcelona,60%,Porcentaje,19.5
2016-2017,Área Metropolitana Barcelona,60%,Porcentaje,21.1
2017-2018,Área Metropolitana Barcelona,60%,Porcentaje,21.9
2018-2019,Área Metropolitana Barcelona,60%,Porcentaje,20.9
2019-2020,Área Metropolitana Barcelona,60%,Porcentaje,20.4
2020-2021,Área Metropolitana Barcelona,60%,Porcentaje,22.3
