Year,Tipo de segregación,Estudio,Units,Value
2018-2019,Alumnado extrangero,Primaria,Índice,0.44
2018-2019,Necesidades Educativas Especiales,Primaria,Índice,0.39
2018-2019,Alumnado extrangero,ESO,Índice,0.41
2018-2019,Necesidades Educativas Especiales,ESO,Índice,0.29
2021-2022,Alumnado extrangero,Primaria,Índice,0.35
2021-2022,Necesidades Educativas Especiales,Primaria,Índice,0.44
2021-2022,Alumnado extrangero,ESO,Índice,0.34
2021-2022,Necesidades Educativas Especiales,ESO,Índice,0.4
2022-2023,Alumnado extrangero,Primaria,Índice,0.34
2022-2023,Necesidades Educativas Especiales,Primaria,Índice,0.42
2022-2023,Alumnado extrangero,ESO,Índice,0.33
2022-2023,Necesidades Educativas Especiales,ESO,Índice,0.39
